交易日期,日开盘价,日最高价,日最低价,日收盘价,日个股交易股数,日个股交易金额,日个股流通市值,日个股总市值,日个股回报率
2010/1/4,45.3075,46.23,44.664,45.393,2055830,95492115.77,7286435.324,10106603.75,0.00381615
2010/1/5,45.401,46.364,44.7605,45.863,1922979.05,85245132.84,7251150.438,10118573.12,0.01175885
2010/1/6,45.352,46.158,44.869,45.4785,2114715.15,92042498.46,7329034.331,9999243.735,0.0026732
2010/1/7,45.7815,46.25,44.492,44.741,1769301.25,77760295.3,7167712.406,9423907.046,-0.0264286
2010/1/8,44.6025,45.513,44.1865,45.211,1417608.95,61351163.71,7161786.605,9978700.918,0.01117075
2010/1/11,45.9805,47.3515,45.341,46.844,1979151.6,89632658.6,8756104.836,11096759.42,0.0243492
2010/1/12,47.6485,49.589,47.0835,48.6475,4934423.6,255717753,8705951.45,11268077.39,0.02698555
2010/1/13,47.7185,50.1185,47.425,49.216,4083504.3,200011381.6,8812595.164,11403239.62,0.0129552
2010/1/14,49.217,51.097,48.86,50.3645,3115447.35,155809219.5,8992190.285,11637342.11,0.024023
2010/1/15,50.3895,51.3165,49.5265,50.3305,2604875.85,131800838.2,9027590.357,11662666.11,-0.00025345
2010/1/18,50.1805,50.924,49.4075,50.364,2389734,121014561.9,9027066.236,11666369.61,0.00270735
2010/1/19,50.44,50.805,49.3235,49.973,2285231.8,114385844.1,8920057.361,11544082.42,-0.00827515
2010/1/20,49.9885,50.3485,47.3355,47.8805,2968693.15,150257690.7,8722736.731,11220187.87,-0.04199055
2010/1/21,47.789,48.6465,47.194,48.0105,1632881.3,80911176.96,8749438.505,11252674.98,0.0033744
2010/1/22,47.664,48.289,45.9605,47.0985,2281830.8,110078303.9,8601365.686,11085768.75,-0.01905675
2010/1/25,45.525,46.409,44.8325,45.399,1339844.55,58063693.15,7328369.519,9589220.15,-0.01297975
2010/1/26,46.906,47.354,45.019,45.593,1908816.85,94093471.94,8330098.527,10715306.04,-0.02529315
2010/1/27,45.5505,46.7065,44.9905,45.886,1970513.75,90300956.06,8483623.846,10816234.88,0.00447655
2010/1/28,45.6925,46.8945,45.122,46.367,1913124.8,88896067.04,8596555.754,10954816.86,0.0126613
2010/1/29,44.8445,46.3615,44.533,45.557,1806524.3,81565564.17,7714726.341,10148710.98,0.0108623
2010/2/1,46.7855,47.686,45.684,46.6725,2044751.4,96124657.09,8729716.349,11112194.44,-0.004148
2010/2/2,46.702,47.384,45.8775,46.1775,1518810.15,71325628.6,8630290.571,10982237,-0.01123465
2010/2/3,46.17,46.6765,44.2625,45.7945,2230475,99836813.07,8528543.031,10870222.9,-0.0108771
2010/2/4,45.7175,46.5865,45.1525,45.8145,1472494.3,66702215.76,8539870.311,10880525.87,0.00210355
2010/2/5,45.0145,46.127,44.221,45.193,1649934.7,74180767.22,8421639.281,10741180.25,-0.0179824
2010/2/8,43.4565,44.174,42.8675,43.4915,1470470.95,64888605.73,8639038.758,10837839.49,-0.00338315
2010/2/9,45.185,45.85,44.628,45.1605,1102265.8,52516390.7,7729090.754,10149413.41,-4.93E-05
2010/2/10,45.4625,46.5805,45.0745,46.3505,1716411.3,85923472.92,7954908.757,10439671.91,0.02506625
2010/2/11,45.968,46.6075,45.485,45.8925,1826641.3,89352740.05,8507786.343,10692247.77,-0.0028133
2010/2/12,46.346,47.5415,45.8775,46.907,2008635.15,100872007.4,8650234.945,11040481.96,0.01471465
2010/2/22,46.8065,47.5805,46.0705,46.6065,1398905.15,67472969.88,8651061.857,11028670.99,-0.00482575
2010/2/23,46.476,47.3335,45.5665,46.835,1625869.8,77363452.78,8337334.724,10779964.63,0.00770085
2010/2/24,46.691,48.568,46.403,48.1965,1814140.25,88208168.71,8539542.655,11062477.82,0.0276352
2010/2/25,47.35,48.591,46.934,48.1365,2890256.75,138637028.8,9323472.708,11792806.19,0.0183678
2010/2/26,48.9585,49.927,48.37,49.085,2692531.1,129484554.4,8965703.275,11476788.96,0.000193
2010/3/1,48.4425,49.3135,47.775,48.715,2493414.15,113924875.9,7539911.809,10142403.81,0.0096969
2010/3/2,48.352,49.0725,47.6725,48.4235,2116210.4,97726909.84,8332895.803,10938110.91,-0.0011654
2010/3/3,49.5165,50.2525,48.7745,49.708,1853364.1,90376269.63,9045754.344,11592314.03,0.0032208
2010/3/4,49.751,50.2185,47.8035,48.2135,2170428.6,104890327.5,8832244.702,11292065.88,-0.02911845
2010/3/5,48.1455,49.4725,47.7645,48.718,2060694.05,100909436.9,9142880.051,11522556.89,0.00560955
2010/3/8,48.7795,49.77,48.4125,49.3635,1686342.1,83563337.89,9279653.358,11683349.01,0.01295155
2010/3/9,49.358,49.7,48.5715,49.016,1481723.7,72319657.12,9206846.266,11594331.82,-0.0063407
2010/3/10,49.1275,49.5025,47.708,48.1305,1700347.1,83663850.76,9057469.588,11402953.21,-0.01598195
2010/3/11,48.1635,49.0905,47.448,48.5565,1840717.1,94832635.77,9077716.769,11445402.22,0.00354085
2010/3/12,48.4715,49.191,47.4975,47.9705,1738198,88399973.26,8926509.786,11257672.17,-0.008979
2010/3/15,48.1345,48.8525,47.1125,47.9625,1830304.75,99178085.48,8786885.75,11137019.16,-0.0039346
