交易日期,日开盘价,日最高价,日最低价,日收盘价,日个股交易股数,日个股交易金额,日个股流通市值,日个股总市值,日个股回报率
2010/1/4,44.6815,45.6105,44.035,44.8135,2392770.6,104046511.1,7603067.871,9877759.584,0.00582195
2010/1/5,44.825,45.833,44.2265,45.349,2116150,90041201.81,7574759.709,9893484.475,0.01399015
2010/1/6,45.2875,46.119,44.818,45.4255,2192770.35,94080174.3,7553168.098,9714546.525,0.0024804
2010/1/7,45.276,45.75,44.031,44.2795,1859569.1,79664635.82,7397166.122,9656688.763,-0.02540625
2010/1/8,44.1305,45.0455,43.659,44.738,1569232.45,65137037.6,7480664.249,9768235.305,0.010944
2010/1/11,45.492,46.9085,44.8885,46.376,2048201.9,91095255.97,8720285.086,11094969.19,0.02399815
2010/1/12,46.9805,48.882,46.4095,47.94,5007101.9,256867959.6,9003574.871,11402563.49,0.0262132
2010/1/13,47.024,49.3715,46.744,48.5495,4243895.7,203571929.9,9111683.381,11539745.36,0.0141321
2010/1/14,48.549,50.2735,48.157,49.548,3137434,154628105.9,9286443.53,11751272.5,0.0196655
2010/1/15,49.5915,50.5795,48.684,49.5045,2978809.85,141346862.7,9330039.622,11786511.76,-0.0002235
2010/1/18,49.3695,50.2505,48.6115,49.688,2874604.4,134519990.4,9354317.327,11816295.64,0.0083646
2010/1/19,49.8385,50.256,48.6955,49.4705,2967132.55,135489014.9,9267571.394,11719470.75,-0.00276305
2010/1/20,49.475,49.983,46.9745,47.5885,3674409.2,172669134.1,9123149.871,11427637.52,-0.0360204
2010/1/21,47.5025,48.37,46.8435,47.6135,2099414.55,95674113.33,9132188.038,11438395.22,0.0001216
2010/1/22,47.2245,47.894,45.574,46.7685,2691082.9,122425728.4,8984673.768,11269515.86,-0.0171593
2010/1/25,45.326,46.2385,44.679,45.2535,1401834.4,59771554.01,7592315.884,9868853.067,-0.0109611
2010/1/26,46.578,47.094,44.8155,45.4575,2284757.15,105165060.9,8706253.418,10912502.51,-0.020963
2010/1/27,45.2905,46.452,44.7295,45.651,2090715.95,93383672.81,8697098.881,10898781.43,0.00399195
2010/1/28,45.4635,46.5905,44.891,46.0385,1955016,89836971.39,8803227.834,11020161.32,0.009792
2010/1/29,44.7615,46.242,44.4555,45.462,1880776.1,83597291.09,7976440.469,10427495.05,0.0110667
2010/2/1,46.511,47.4625,45.428,46.4795,2204079.4,100707338,8959005.78,11209428.13,-0.0012351
2010/2/2,46.5145,47.174,45.707,45.9915,1601046.45,73658349.55,8855355.751,11078176.32,-0.011138
2010/2/3,46.17,46.6765,44.2625,45.7945,2230475,99836813.07,8528543.03,10870222.9,-0.0108771
2010/2/4,45.568,46.4215,45.005,45.6595,1707293.25,73746938.76,8772358.844,10984987.69,0.00260635
2010/2/5,44.8645,46.021,44.0865,45.0695,1763746.5,77566511.62,8652122.968,10849093.47,-0.01711195
2010/2/8,43.4565,44.174,42.8675,43.4915,1470470.95,64888605.73,8639038.758,10837839.49,-0.00338315
2010/2/9,45.048,45.605,44.4965,44.9415,1191144.4,54812491.12,8604453.411,10804400.11,-0.0029761
2010/2/10,45.2835,46.4235,44.95,46.259,1919761.7,92108737.4,8868219.621,11133394.18,0.02931395
2010/2/11,45.956,46.5495,45.4785,45.8865,1773364.15,87672108.92,8798046.413,10960518.96,-0.002208
2010/2/12,46.2335,47.3875,45.749,46.767,2065190.65,102548933.3,8883388.245,11147470.75,0.0145681
2010/2/22,46.656,47.444,45.9325,46.484,1483541.55,70012033.98,8887400.984,11139922.75,-0.00425815
2010/2/23,46.406,47.2615,45.5075,46.75,1722131,80374637.13,8954698.917,11199426.07,0.0072368
2010/2/24,46.586,48.45,46.2905,48.088,1943995.7,92239869.76,9165888.128,11485015.74,0.02696945
2010/2/25,47.35,48.591,46.934,48.1365,2890256.75,138637028.8,9323472.708,11792806.19,0.0183678
2010/2/26,48.8655,49.8435,48.279,48.9935,2766230.05,131819055.8,9217888.436,11601157.94,0.00047825
2010/3/1,48.3145,49.232,47.735,48.63,2495051.2,113751883.4,7834290.709,10456655.73,0.0088581
2010/3/2,48.311,49.054,47.6605,48.418,2212454.35,100903280.9,8636619.866,11264868.17,0.0012094
2010/3/3,49.4965,50.2355,48.74,49.651,1932372.6,93005918.38,9305634.508,11725858.72,0.00247825
