交易日期,沪深20指数
2010/3/31,100
2010/4/1,102.1480489
2010/4/2,101.9637454
2010/4/6,101.7214547
2010/4/7,103.2224631
2010/4/8,103.8946401
2010/4/9,105.6388688
2010/4/12,107.3320285
2010/4/13,106.9137994
2010/4/14,107.406626
2010/4/15,105.4666154
2010/4/16,104.9729089
2010/4/19,102.5101225
2010/4/20,105.9262149
2010/4/21,109.5592502
2010/4/22,110.3612318
2010/4/23,109.959175
2010/4/26,112.6109868
2010/4/27,110.7411704
2010/4/28,110.2995384
2010/4/29,105.9763177
2010/4/30,103.7519338
2010/5/4,104.4407206
2010/5/5,106.8678212
2010/5/6,103.6183735
2010/5/7,101.2451424
2010/5/10,98.22003185
2010/5/11,96.00407709
2010/5/12,93.12398302
2010/5/13,96.97820706
2010/5/14,99.0106233
2010/5/17,94.22391876
2010/5/18,95.17284893
2010/5/19,95.43487766
2010/5/20,93.8564537
2010/5/21,95.73502743
2010/5/24,99.44967627
2010/5/25,98.62565617
2010/5/26,98.49583474
2010/5/27,100.5500071
2010/5/28,101.4812769
2010/5/31,99.74666374
2010/6/1,98.16206518
2010/6/2,98.64611352
2010/6/3,99.18716299
2010/6/4,100.4235463
2010/6/7,101.5895506
2010/6/8,101.2610611
2010/6/9,103.1440732
2010/6/10,103.3615149
2010/6/11,102.8474448
2010/6/17,99.90612354
2010/6/18,94.14326355
2010/6/21,95.62868478
2010/6/22,96.14541168
2010/6/23,96.96667425
2010/6/24,96.67968118
2010/6/25,94.2191685
2010/6/28,93.06881831
2010/6/29,87.96721804
2010/6/30,88.27824689
2010/7/1,85.08739379
2010/7/2,82.62282849
2010/7/5,82.06609435
2010/7/6,84.59935075
2010/7/7,85.97808997
2010/7/8,85.51029221
2010/7/9,87.82670288
2010/7/12,88.28158194
2010/7/13,86.87239818
2010/7/14,87.13740762
2010/7/15,85.7712959
2010/7/16,85.6523885
2010/7/19,87.50076363
2010/7/20,90.48148985
2010/7/21,91.39132376
2010/7/22,92.43655538
2010/7/23,93.26492373
2010/7/26,94.73927144
2010/7/27,94.56430694
2010/7/28,96.79474231
2010/7/29,96.78618625
2010/7/30,96.66488012
2010/8/2,98.58699144
2010/8/3,97.23090677
2010/8/4,97.65447993
2010/8/5,98.39082384
2010/8/6,100.3902746
2010/8/9,102.4303405
2010/8/10,99.6804797
2010/8/11,100.6819158
2010/8/12,99.87869123
2010/8/13,102.1314241
2010/8/16,104.3296717
2010/8/17,104.2958992
2010/8/18,104.548944
2010/8/19,103.4331271
2010/8/20,99.91105753
2010/8/23,100.3097558
2010/8/24,101.6317581
2010/8/25,99.86337161
2010/8/26,100.8433689
2010/8/27,102.4776864
2010/8/30,106.122628
2010/8/31,106.7396658
2010/9/1,105.8492052
2010/9/2,107.7205836
2010/9/3,108.1175411
2010/9/6,108.5448196
2010/9/7,108.6753486
2010/9/8,109.9048437
2010/9/9,110.5495933
2010/9/10,113.6228451
2010/9/13,115.0909663
